date,month,is_weekend,num_appliances_used,peak_hour_usage,off_peak_usage,daily_kwh,monthly_kwh,monthly_bill,usage_label
01-01-2019,1,0,4,3.799,2.71,8.211,243.79,1587.13,0
02-01-2019,1,0,5,3.094,2.765,8.076,243.79,1587.13,0
03-01-2019,1,0,5,3.157,2.326,6.806,243.79,1587.13,0
04-01-2019,1,0,5,4.305,2.623,8.766,243.79,1587.13,1
05-01-2019,1,1,6,4.136,3.079,8,243.79,1587.13,0
06-01-2019,1,1,7,3.8,2.659,9.116,243.79,1587.13,1
07-01-2019,1,0,4,3.213,2.327,7.358,243.79,1587.13,0
08-01-2019,1,0,4,3.031,2.603,7.015,243.79,1587.13,0
09-01-2019,1,0,5,3.397,2.987,7.78,243.79,1587.13,0
10-01-2019,1,0,4,3.047,3.243,7.691,243.79,1587.13,0
11-01-2019,1,0,4,3.986,2.898,9.12,243.79,1587.13,1
12-01-2019,1,1,5,4.273,3.125,9.257,243.79,1587.13,1
13-01-2019,1,1,6,3.77,3.004,8.097,243.79,1587.13,0
14-01-2019,1,0,4,3.15,2.494,6.648,243.79,1587.13,0
15-01-2019,1,0,5,2.93,2.996,7.904,243.79,1587.13,0
16-01-2019,1,0,4,3.001,2.674,7.51,243.79,1587.13,0
17-01-2019,1,0,4,2.736,2.813,7.332,243.79,1587.13,0
18-01-2019,1,0,5,4.093,2.516,8.076,243.79,1587.13,0
19-01-2019,1,1,6,3.923,3.04,8.343,243.79,1587.13,1
20-01-2019,1,1,6,4.475,2.864,9.513,243.79,1587.13,1
21-01-2019,1,0,5,3.121,2.869,8.201,243.79,1587.13,0
22-01-2019,1,0,4,2.637,2.674,7.067,243.79,1587.13,0
23-01-2019,1,0,4,3.179,2.617,7.684,243.79,1587.13,0
24-01-2019,1,0,5,3.41,2.945,7.949,243.79,1587.13,0
25-01-2019,1,0,4,3.323,2.578,6.853,243.79,1587.13,0
26-01-2019,1,1,6,3.151,2.423,6.682,243.79,1587.13,0
